listing_id,date
4525307,2015-05-25
4525307,2015-06-12
4525307,2015-07-08
4525307,2015-07-16
4525307,2015-08-04
4525307,2015-09-12
4525307,2015-09-19
254939,2011-11-21
254939,2011-11-28
254939,2011-12-25
254939,2012-01-03
254939,2012-01-29
254939,2012-02-10
254939,2012-02-13
254939,2012-02-28
254939,2012-03-21
254939,2012-04-01
254939,2012-04-09
254939,2012-04-29
254939,2012-05-03
254939,2012-05-06
254939,2012-05-11
254939,2012-05-14
254939,2012-05-19
254939,2012-05-21
254939,2012-05-26
254939,2012-05-29
254939,2012-06-01
254939,2012-06-04
254939,2012-06-10
254939,2012-06-12
254939,2012-06-23
254939,2012-07-08
254939,2012-07-25
254939,2012-07-27
254939,2012-07-29
254939,2012-08-07
254939,2012-08-15
254939,2012-08-20
254939,2012-08-27
254939,2012-09-06
254939,2012-09-14
254939,2012-09-14
254939,2012-09-19
254939,2012-10-02
254939,2012-10-26
254939,2012-11-08
254939,2012-11-13
254939,2012-11-18
254939,2012-11-21
254939,2012-11-26
254939,2012-12-01
254939,2012-12-03
254939,2012-12-11
254939,2012-12-16
254939,2012-12-21
254939,2012-12-23
254939,2012-12-25
254939,2012-12-28
254939,2013-01-02
254939,2013-01-11
254939,2013-01-19
254939,2013-02-12
254939,2013-02-22
254939,2013-03-02
254939,2013-03-04
254939,2013-03-08
254939,2013-03-17
254939,2013-03-20
254939,2013-03-26
254939,2013-04-02
254939,2013-05-18
254939,2013-06-04
254939,2013-06-06
254939,2013-06-16
254939,2013-06-18
254939,2013-06-25
254939,2013-06-30
254939,2013-07-04
254939,2013-07-06
254939,2013-07-13
254939,2013-07-17
254939,2013-07-22
254939,2013-08-19
254939,2013-08-25
254939,2013-08-30
254939,2013-09-05
254939,2013-09-07
254939,2013-09-11
254939,2013-09-18
254939,2013-10-03
254939,2013-10-07
254939,2013-11-01
254939,2013-11-04
254939,2013-11-28
254939,2013-12-05
254939,2013-12-09
254939,2013-12-12
254939,2013-12-18
254939,2013-12-29
254939,2013-12-31
254939,2014-01-06
254939,2014-01-09
254939,2014-01-13
254939,2014-01-16
254939,2014-01-19
254939,2014-01-21
254939,2014-01-27
254939,2014-02-09
254939,2014-02-11
254939,2014-02-18
254939,2014-02-22
254939,2014-03-25
254939,2014-03-27
254939,2014-04-07
254939,2014-04-14
254939,2014-04-22
254939,2014-05-11
254939,2014-05-16
254939,2014-05-25
254939,2014-06-01
254939,2014-06-05
254939,2014-06-10
254939,2014-07-06
254939,2014-07-13
254939,2014-07-16
254939,2014-07-25
254939,2014-07-29
254939,2014-07-31
254939,2014-08-11
254939,2014-08-14
254939,2014-08-16
254939,2014-08-19
254939,2014-08-21
254939,2014-08-25
254939,2014-09-05
254939,2014-09-09
254939,2014-09-12
254939,2014-09-16
254939,2014-09-18
254939,2014-09-22
254939,2014-10-06
254939,2014-10-21
254939,2014-10-27
254939,2014-11-01
254939,2014-11-06
254939,2014-11-08
254939,2014-11-10
254939,2014-11-12
254939,2014-11-17
254939,2014-12-01
254939,2014-12-06
254939,2014-12-11
254939,2014-12-16
254939,2014-12-20
254939,2014-12-23
254939,2014-12-27
254939,2015-01-05
254939,2015-01-22
254939,2015-01-27
254939,2015-02-16
254939,2015-03-04
254939,2015-03-09
254939,2015-03-17
254939,2015-03-21
254939,2015-03-23
254939,2015-03-29
254939,2015-04-10
254939,2015-04-13
254939,2015-04-18
254939,2015-04-20
254939,2015-04-21
254939,2015-04-24
254939,2015-05-02
254939,2015-05-09
254939,2015-05-14
254939,2015-05-16
254939,2015-05-19
254939,2015-05-26
254939,2015-06-02
254939,2015-06-10
254939,2015-07-10
254939,2015-07-14
254939,2015-07-20
254939,2015-07-23
254939,2015-07-30
254939,2015-08-07
254939,2015-08-10
254939,2015-08-14
254939,2015-08-17
254939,2015-08-23
254939,2015-08-27
254939,2015-09-01
254939,2015-09-11
254939,2015-09-17
8064171,2015-08-31
8064171,2015-09-06
7147142,2015-08-16
6044307,2015-08-03
6044307,2015-09-04
7841133,2015-08-31
7841133,2015-09-04
7841133,2015-09-08
7841133,2015-09-14
7841133,2015-09-21
5179327,2015-06-07
6705573,2015-07-27
6871006,2015-07-07
6871006,2015-07-10
6871006,2015-07-11
6871006,2015-07-21
6871006,2015-08-14
6871006,2015-08-19
2730019,2014-05-03
2730019,2014-07-22
2730019,2014-07-24
2730019,2014-10-12
6620859,2015-07-13
6620859,2015-08-18
7690479,2015-09-01
5296851,2015-07-02
5296851,2015-08-01
5296851,2015-08-07
5296851,2015-08-31
5296851,2015-09-16
3553690,2014-09-08
3553690,2014-09-29
3553690,2014-10-06
3553690,2014-10-13
3553690,2014-10-20
3553690,2014-10-28
3553690,2014-11-15
3553690,2015-01-06
3553690,2015-02-02
3553690,2015-03-03
3553690,2015-03-23
3553690,2015-04-07
3553690,2015-04-13
3553690,2015-05-01
3553690,2015-05-10
3553690,2015-05-13
3553690,2015-05-21
3553690,2015-06-03
3553690,2015-06-08
3553690,2015-06-19
1875887,2015-09-03
6255809,2015-09-09
4093354,2014-09-19
4093354,2014-09-30
4093354,2014-10-05
4093354,2014-10-16
4093354,2014-10-19
4093354,2014-10-22
4093354,2014-10-24
4093354,2014-11-05
4093354,2014-11-17
4093354,2014-11-24
4093354,2014-11-30
4093354,2014-12-16
4093354,2015-01-01
4093354,2015-01-24
4093354,2015-06-20
4093354,2015-06-28
4093354,2015-07-01
4093354,2015-07-09
4093354,2015-07-14
4093354,2015-07-18
4093354,2015-07-24
4093354,2015-08-13
4093354,2015-08-17
4093354,2015-08-21
4093354,2015-08-25
4093354,2015-08-30
4093354,2015-09-02
4093354,2015-09-10
4093354,2015-09-14
4093354,2015-09-21
4093354,2015-09-25
198109,2011-11-19
198109,2011-12-12
198109,2012-03-17
198109,2012-04-13
198109,2012-07-04
198109,2012-08-14
198109,2012-08-21
198109,2012-08-30
198109,2012-09-14
198109,2013-01-04
198109,2013-03-29
198109,2013-05-06
198109,2013-05-19
198109,2013-05-21
198109,2013-06-11
198109,2013-08-06
198109,2014-06-25
198109,2014-07-27
198109,2014-08-05
198109,2014-08-11
198109,2014-08-20
198109,2014-09-01
198109,2014-10-31
198109,2015-01-02
198109,2015-05-25
198109,2015-06-21
198109,2015-07-06
198109,2015-07-12
198109,2015-07-18
198109,2015-07-20
198109,2015-08-01
198109,2015-08-25
3324194,2014-08-08
3324194,2015-01-08
3324194,2015-02-24
3324194,2015-05-19
3324194,2015-08-25
982421,2013-05-28
982421,2013-05-31
982421,2013-06-08
982421,2013-06-11
982421,2013-07-01
982421,2014-08-05
982421,2015-03-28
5958769,2015-05-03
5958769,2015-05-06
5958769,2015-05-12
5958769,2015-05-17
5958769,2015-05-23
5958769,2015-06-06
5958769,2015-06-10
5958769,2015-06-19
5958769,2015-06-30
5958769,2015-08-09
5958769,2015-08-16
5958769,2015-09-04
5557377,2015-03-16
5557377,2015-04-04
5557377,2015-04-08
5557377,2015-04-24
5557377,2015-04-28
5557377,2015-04-30
5557377,2015-05-04
5557377,2015-05-10
5557377,2015-05-13
5557377,2015-05-18
5557377,2015-05-24
5557377,2015-06-01
5557377,2015-06-07
5557377,2015-06-10
5557377,2015-06-14
5557377,2015-06-21
5557377,2015-06-25
5557377,2015-06-29
5557377,2015-07-11
5557377,2015-07-15
5557377,2015-07-26
5557377,2015-08-03
5557377,2015-08-07
5557377,2015-08-18
5557377,2015-08-22
5557377,2015-08-25
